DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Men's Accessories,Fashion Accessories,Umbrellas,Umbrellas For Women,Umbrellas For Kids,Umbrellas For Men,Baby Umbrellas For Baby Girl,Umbrellas For Rain,Umberallas For Rain Big Size Men,Automatic Open Golf Umbrella,Automatic Open Travel Umbrella,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Stoles & Scarves,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Suspenders,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Neckties & Pocket Squares,Men Nectie,Pocket Square And Cufflink,Self Silk Necktie,Pocket Square Men,Necktie Gift Set With Pocket Square,Cufflinks And Lapel Pin,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Wallets & Clutches,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Helmets,Helmets For Men,Helmets For Women,Helmet For Adults Men,Helmet For Adults Women,Open Face Helmet,Open Face Helmet For Men,Open Face Helmet For Women,Stylish Helmet For Girls,Helmets For Women,Helmets For Women Full Face,Helmets Half Face,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Masks,Masks For Men,Masks For Women,Masks For Girls,Masks For Boys,Masks For Adults,Masks For Face,Masks For Skin,Disposable Surgical Face Mask,Face Mask With Nose Clip,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Handkerchiefs,Handkerchiefs For Men,Handkerchiefs For Women,Handkerchiefs For Girls,Handkerchiefs For Boys,Handkerchiefs For Ladies,Handkerchiefs For Babies,Cotton Handkerchief,Border Handkerchief,,,,,,,
Retail,Fashion,Men's Accessories,Footwear Accessories,Socks & Stockings,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Footwear Accessories,Laces,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Footwear Accessories,Soles & Charms,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Footwear Accessories,Shoe Racks & Organisers,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Footwear Accessories,Shoe Care - Brush,Shoe Care Brush,Shoe Shine Brush,Shoe Brush For Cleaning,Shining And Buffing Boots,Soft Bristle Brush,Shoe Cleaning Solution,Sneakers Brush,Sneakers Cleaning Brush,Soft Brush For Sneakers,,,,,,
Retail,Fashion,Men's Accessories,Footwear Accessories,Shoe Care - Polish,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Footwear Accessories,Shoe Care - Others,Shoe Care Kit,Shoe Care Box,Shoe Care Bag,Sneaker Cleaner,Soft Bristles Brush,Shoehorn Stick,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Shirts,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,T Shirts,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Sweatshirts,Sweatshirts For Men,Sweatshirts For Women,Sweatshirts For Boys,Sweatshirts For Girls,Sweatshirts For Kids,Sweatshirts For Women Stylish,Sweat Shirts Casual For Women,Sweat Shirts For Man,Sweat Shirts Casual For Girls,Men Sweatshirt,,,,,
Retail,Fashion,Men's Apparel,Topwear,Kurtas & Kurta Sets,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Jackets & Coats,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Sweaters,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Blazers & Waistcoats,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Suits,Formal Coat Suits For Mens,Men'S Slim Fit Suit,Formal Suit,Notch Lapel Suit,Jodhpuri Suit Casual,Bandgala Suit Casual,Suits Men,Suits Mens Formal Suits,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Sherwanis,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Track Shirts,Track Shirts For Women,Track Shirts For Girls,Track Shirts For Men,Track Shirts For Boys,Track Shirts For Men Sports,,,,,,,,,,
Retail,Fashion,Men's Apparel,Topwear,Track Suits,Track Suits For Men,Track Suits For Kids,Track Suits For Boys,Track Suits For Men Winter,Track Suits,Mens Track Suit,Regular Fit Track Suit,Mens Cotton Track Suit,Gym Track Suit,Sports Track Suit,,,,,
Retail,Fashion,Men's Apparel,Topwear,Unstitched Fabrics,Unstitched Trouser Fabric,Poly Cotton Plain Shirt And Trouser Fabric,Unstitiched Fabric Suiting,Men'S Viscose Unstitched,Unstitched Poly Cotton,Net Unstitched,,,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Jeans,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Trousers,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Shorts,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Joggers,Joggers For Men,Joggers For Boys,Joggers Jeans,Joggers Jeans For Men,Joggers Jeans For Men Stylish,Men Regular Fit Joggers,Men'S Regular Fit Joggers,Men Casual Joggers,Men'S Relaxed Fit Joggers,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Track Pants & Shorts,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Dhotis,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Dhoti Pants,Dhoti Pants For Men,Dhoti Pants For Kids,Dhoti Pants For Kids Boys,Dhoti Pants For Men Cotton,Fancy Dhoti,Traditional Dhoti Pants Pajama,Men'S Silk Fancy Border Dhoti,Printed Ethnic Dhoti,Readymade Dhoti Pant For Men,Cotton Dhoti Pant,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Churidars,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Salwars,Patiala Salwar Pants,Cotton Silk Traditional Peshawari,Mens Cotton Salwar,Cotton Salwar Pyjama,Patiala Salwar Alladin Pant'S,Men'S Salwar Dhoti,Men'S Velvet Patiala Salwar,Mens Ethnic Salwar Dhoti,,,,,,,
Retail,Fashion,Men's Apparel,Bottomwear,Harem Pants,Harem Pants For Men,Harem Pants For Kids,Harem Pants For Kids Boys,Mens Harem Pants Free Size,Yoga Harem Pants,Men'S Loose Fit Harem Pants,Cotton Harem Pants For Men,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Briefs & Trunks,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Boxers,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Vests,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Robes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Bath Robes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Lounge Pants,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Lounge Shorts,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Lounge T-Shirts,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Night Suits,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Pyjamas,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Thermal Bottoms,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Thermal Sets,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Thermal Tops,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Swim Bottoms,,,,,,,,,,,,,,,
Retail,Fashion,Men's Apparel,Innerwear & Sleepwear,Swim Suits,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Backpacks,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Utility Bags,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Duffle Bags,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Gym Bags,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Handbags,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Laptop Bags,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Sleeves & Cases,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,"Trolley, Luggage & Suitcases",,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Messenger Bags,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Office Bags,,,,,,,,,,,,,,,
Retail,Fashion,Men's Bags & Luggage,Bags & Luggage,Outdoor,,,,,,,,,,,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Contact Lenses,Contact Lenses For Girls,Contact Lenses For Women,Contact Lenses For Men,Color Contact Lenses Zero Power,Contact Lenses Blue,Daily Disposable Contact Lenses,Pack Of 6 Lenses,Color Contact Lenses,4 Pairs Of Monthly Color Contact Lenses,Reusable Contact Lenses,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Eye Glasses,Eye Glasses For Girls,Eye Glasses For Women,Eye Glasses For Men,Cut Computer Glasses,Cut Computer Glasses For Eye Protection,Blocking Glasses Gaming Filter,Eye Glasses For Computer,Eye Glasses For Tablet,Eye Glasses For Laptop,Eye Glasses For Mobile,Eye Glasses For TV,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Eye Glass Frames,Eye Glass Frames For Girls,Eye Glass Frames For Women,Eye Glass Frames,Eye Glass Frames For Men,Eye Glass Frames Titanium,Spectacles Frame Anti-Glare Uv,Round Eyeglass Frame,Tony Stark Frame For Eye,,,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Sunglasses,Sunglasses For Girls,Sunglasses For Women,Sunglasses For Men,Sunglasses For Kids,Sunglasses For Kids Boy,Sunglasses For Men Aviator,Driving Vintage Sunglasses,Polarized Sunglasses,Unisex Sunglass,Men'S Pilot Sunglasses,Rectanglular Sunglasses,Square Men'S Sunglasses,,,
Retail,Fashion,Men's Eyewear,Eyewear,Contact Lens Cases,Lens Cases For Contact Lenses,Contact Lenses Case,Travel Contact Lens Case Box With Mirror,Mini Simple Contact Lens,Mini Simple Contact Lens Travel Case Box,Contact Lens Holder,Multicolour Contact Lens Containers,Leak Proof Contact Lens Case,"Leakproof, Potable Lens Box",Lens Box For Travel,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Contact Lens Solutions,Contact Lens Solutions Small,Contact Lens Solutions Travel Kit,Comfort Contact Lens Solution 120Ml,Aquasoft Multipurpose Solution,Gp Fresh Hydra One Step Multi-Action Solution,Colorblends Contact Lens With Lens Case And Solution,,,,,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Contact Lens Twizzers,Contact Lens Applicator And Tweezers,Contact Lenses For Men,Contact Lenses With Tweezer,Mirror Bottle Tweezers Contact Applicator,Box Container Holder With Tweezers,Kit Mirror Tweezers,,,,,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Eyeglasses Pouches & Cases,Unisex Hard Shell Protective Case,Case Soft Pouch For Sunglass Eyeglass,Sunglasses Pouch,Leather Glasses Case,Zippered Neoprene Sunglasses Pouch,Eye Glasses Box Holder,Zipper Sunglasses Pouch,Sunglasses Bag,,,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Microfiber Wipes,Microfiber Wipes For Kitchen Cleaning,Microfiber Wipes For Kitchen,Wipes Microfiber Cloth,Microfiber Multipurpose Wipe,Table Tops And Glass Wipe,Microfiber And Pva Cloth,Sponge Wipe,,,,,,,,
Retail,Fashion,Men's Eyewear,Eyewear,Eyewear Slings,Eyewear Sling Women,Eyewear Sling Men,Eyewear Sling Women,Eyewear Sling Boys,Eyewear Sling,Spectacle Chain,Lanyard String For Eyewear Frames,Chain Evil Eye,Chain Lanyard String For Eyewear Frames,Neck Strap String Chain,Chain For Specs,,,,
Retail,Fashion,Men's Footwear,Footwear,Formal Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Footwear,Footwear,Casual Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Footwear,Footwear,Sports Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Footwear,Footwear,Boots,,,,,,,,,,,,,,,
Retail,Fashion,Men's Footwear,Footwear,Outdoor Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Footwear,Footwear,Work & Safety Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Footwear,Footwear,Ethnic Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Men's Jewellery,Jewellery,Bracelets,,,,,,,,,,,,,,,
Retail,Fashion,Men's Jewellery,Jewellery,Brooch,,,,,,,,,,,,,,,
Retail,Fashion,Men's Jewellery,Jewellery,Chains,,,,,,,,,,,,,,,
Retail,Fashion,Men's Jewellery,Jewellery,Earrings,,,,,,,,,,,,,,,
Retail,Fashion,Men's Jewellery,Jewellery,Pendants,,,,,,,,,,,,,,,
Retail,Fashion,Men's Jewellery,Jewellery,Rings,,,,,,,,,,,,,,,
Retail,Fashion,Men's Jewellery,Jewellery,Gold Coins,,,,,,,,,,,,,,,
